temperature,tolerance_meV,branch,energy_col,x_max,saturated,max_sampled_x,n_on_hull
0K_all,3,antisite,Ef,0.492188,False,0.796875,4
0K_all,3,vacancy,Ef,0.512,False,0.659794,1
0K_all,3,best_B2_branch,Ef,0.512,False,0.659794,6
0K_all,5,antisite,Ef,0.492188,False,0.796875,5
0K_all,5,vacancy,Ef,0.520325,False,0.659794,2
0K_all,5,best_B2_branch,Ef,0.520325,False,0.659794,8
0K_all,10,antisite,Ef,0.507812,False,0.796875,7
0K_all,10,vacancy,Ef,0.528926,False,0.659794,3
0K_all,10,best_B2_branch,Ef,0.528926,False,0.659794,10
0K_all,20,antisite,Ef,0.507812,False,0.796875,8
0K_all,20,vacancy,Ef,0.561404,False,0.659794,6
0K_all,20,best_B2_branch,Ef,0.561404,False,0.659794,13
1273K,3,antisite,G_1273K,,True,0.796875,10
1273K,3,vacancy,G_1273K,,True,0.659794,10
1273K,3,best_B2_branch,G_1273K,,True,0.659794,18
1273K,5,antisite,G_1273K,,True,0.796875,12
1273K,5,vacancy,G_1273K,,True,0.659794,11
1273K,5,best_B2_branch,G_1273K,,True,0.659794,19
1273K,10,antisite,G_1273K,,True,0.796875,14
1273K,10,vacancy,G_1273K,,True,0.659794,11
1273K,10,best_B2_branch,G_1273K,,True,0.659794,20
1273K,20,antisite,G_1273K,,True,0.796875,16
1273K,20,vacancy,G_1273K,,True,0.659794,12
1273K,20,best_B2_branch,G_1273K,,True,0.659794,20
1473K,3,antisite,G_1473K,,True,0.796875,27
1473K,3,vacancy,G_1473K,,True,0.659794,10
1473K,3,best_B2_branch,G_1473K,,True,0.659794,19
1473K,5,antisite,G_1473K,,True,0.796875,28
1473K,5,vacancy,G_1473K,,True,0.659794,11
1473K,5,best_B2_branch,G_1473K,,True,0.659794,20
1473K,10,antisite,G_1473K,,True,0.796875,28
1473K,10,vacancy,G_1473K,,True,0.659794,11
1473K,10,best_B2_branch,G_1473K,,True,0.659794,20
1473K,20,antisite,G_1473K,,True,0.796875,28
1473K,20,vacancy,G_1473K,,True,0.659794,12
1473K,20,best_B2_branch,G_1473K,,True,0.659794,20
