dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
Ag12Al4,OK,0,0,0,static_OUTCAR,-48.0089265000,-48.0092841400,bcc,2.0,16,277.44705466,3.26109445,3.26109445,6.52218890,6.52218890,6.52218890,yes,CLEANED:0,BCC_SQS,Ag12Al4
Ag12Au4,OK,0,0,0,static_OUTCAR,-45.4887024500,-45.4864850400,bcc,2.0,16,286.86632217,3.29758900,3.29758900,6.59517801,6.59517801,6.59517801,yes,CLEANED:0,BCC_SQS,Ag12Au4
Ag12Be4,OK,0,0,0,static_OUTCAR,-44.8894555900,-44.8910208600,bcc,2.0,16,256.23938292,3.17579137,3.17579137,6.35158274,6.35158274,6.35158274,yes,CLEANED:0,BCC_SQS,Ag12Be4
Ag12Ca4,OK,0,0,0,static_OUTCAR,-41.5489491700,-41.5468649100,bcc,2.0,16,339.50800503,3.48808193,3.48808193,6.97616386,6.97616386,6.97616386,yes,CLEANED:0,BCC_SQS,Ag12Ca4
Ag12Co4,OK,0,0,0,static_OUTCAR,-56.6135719800,-56.6120681300,bcc,2.0,16,260.96883082,3.19521106,3.19521106,6.39042212,6.39042212,6.39042212,yes,CLEANED:0,BCC_SQS,Ag12Co4
Ag12Cr4,OK,0,0,0,static_OUTCAR,-65.3038283600,-65.3040747700,bcc,2.0,16,283.95907341,3.28641134,3.28641134,6.57282269,6.57282269,6.57282269,yes,CLEANED:0,BCC_SQS,Ag12Cr4
Ag12Cu4,OK,0,0,0,static_OUTCAR,-46.0773499500,-46.0757495700,bcc,2.0,16,264.20798666,3.20837644,3.20837644,6.41675288,6.41675288,6.41675288,yes,CLEANED:0,BCC_SQS,Ag12Cu4
Ag12Dy4,OK,0,0,0,static_OUTCAR,-52.0769869400,-52.0779692800,bcc,2.0,16,341.05600001,3.49337522,3.49337522,6.98675045,6.98675045,6.98675045,yes,CLEANED:0,BCC_SQS,Ag12Dy4
Ag12Er4,OK,0,0,0,static_OUTCAR,-51.9829736600,-51.9843759100,bcc,2.0,16,329.21940950,3.45248512,3.45248512,6.90497023,6.90497023,6.90497023,yes,CLEANED:0,BCC_SQS,Ag12Er4
Ag12Fe4,OK,0,0,0,static_OUTCAR,-61.6906020700,-61.6902518900,bcc,2.0,16,264.90031549,3.21117640,3.21117640,6.42235279,6.42235279,6.42235279,yes,CLEANED:0,BCC_SQS,Ag12Fe4
Ag12Ge4,OK,0,0,0,static_OUTCAR,-48.8507543100,-48.8506805000,bcc,2.0,16,290.50965951,3.31149063,3.31149063,6.62298125,6.62298125,6.62298125,yes,CLEANED:0,BCC_SQS,Ag12Ge4
Ag12Hf4,OK,0,0,0,static_OUTCAR,-70.9538774200,-70.9523382300,bcc,2.0,16,302.14915239,3.35513859,3.35513859,6.71027718,6.71027718,6.71027718,yes,CLEANED:0,BCC_SQS,Ag12Hf4
Ag12Ir4,OK,0,0,0,static_OUTCAR,-63.1230872100,-63.1210791100,bcc,2.0,16,268.66988771,3.22633656,3.22633656,6.45267311,6.45267311,6.45267311,yes,CLEANED:0,BCC_SQS,Ag12Ir4
Ag12La4,OK,0,0,0,static_OUTCAR,-53.0993493100,-53.0993386100,bcc,2.0,16,363.02316313,3.56682211,3.56682211,7.13364422,7.13364422,7.13364422,yes,CLEANED:0,BCC_SQS,Ag12La4
Ag12Mg4,OK,0,0,0,static_OUTCAR,-40.1482125800,-40.1504478000,bcc,2.0,16,291.22545842,3.31420817,3.31420817,6.62841634,6.62841634,6.62841634,yes,CLEANED:0,BCC_SQS,Ag12Mg4
