query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.formula AS compound
FROM material_entry AS me
JOIN structure AS s
  ON me.entry_id = s.entry_id
WHERE s.strukturbericht IN ('L1₂', 'L12', 'L1_2')
ORDER BY compound
LIMIT 10000;",True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2986,12310,1,2376
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,baseline1_llm_only,"SELECT DISTINCT me.*
FROM material_entry AS me
JOIN composition AS c
  ON c.entry_id = me.entry_id
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE UPPER(c.element) = 'NI'
  AND me.number_of_elements >= 2
  AND (
    s.strukturbericht ILIKE ANY (ARRAY['%L1₂%', '%L12%', '%L1_2%'])
    OR s.prototype ILIKE ANY (ARRAY['%L1₂%', '%L12%', '%L1_2%', '%Cu3Au%', '%AuCu3%'])
    OR (
      s.space_group_number = 221
      AND s.formula_type ILIKE ANY (ARRAY['A3B', 'AB3'])
    )
  )
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6878,10810,2,6252
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,baseline1_llm_only,"SELECT DISTINCT
    me.entry_id AS material_id,
    me.formula AS formula_pretty
FROM material_entry AS me
JOIN structure AS s
    ON me.entry_id = s.entry_id
WHERE s.formula_type IN ('A3B', 'AB3')
LIMIT 10000;",True,True,1.0,0.9679012345679012,1.0,0.9836888331242158,0.0,0.0,0.0,0.0,1.0,0.0,4548,46077,1,2388
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,baseline1_llm_only,"SELECT
  me.formula,
  s.lattice_a AS a,
  s.lattice_b AS b,
  s.lattice_c AS c,
  90.0 AS alpha,
  90.0 AS beta,
  90.0 AS gamma
FROM material_entry AS me
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE regexp_replace(upper(COALESCE(s.strukturbericht, '')), '[^A-Z0-9]', '', 'g') = 'L12'
  AND s.lattice_a IS NOT NULL
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6413,13265,2,5734
q_easy_005,Coを含む化合物を表示して。,easy,1,baseline1_llm_only,"SELECT *
FROM material_entry
WHERE formula ~ 'Co([^a-z]|$)'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2870,12721,1,2278
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.formula
FROM material_entry AS me
JOIN structure AS s
  ON me.entry_id = s.entry_id
WHERE LOWER(s.crystal_system) = 'cubic'
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2751,8242,1,2243
q_easy_007,L1₂型化合物のリストを出して。,easy,1,baseline1_llm_only,"SELECT DISTINCT me.formula
FROM material_entry AS me
JOIN structure AS s
  ON me.entry_id = s.entry_id
WHERE s.strukturbericht IN ('L1₂', 'L1_2', 'L12')
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2962,12233,1,2354
q_easy_008,Alを含む化合物を抽出して。,easy,1,baseline1_llm_only,"SELECT *
FROM material_entry
WHERE formula LIKE '%Al%'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2784,13430,1,2196
q_easy_009,空間群番号221の化合物を表示して。,easy,1,baseline1_llm_only,"SELECT material_entry.*
FROM material_entry
JOIN structure
  ON material_entry.entry_id = structure.entry_id
WHERE structure.space_group_number = 221
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,2620,4418,1,2372
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,baseline1_llm_only,"SELECT DISTINCT
  me.entry_id AS compound_id,
  me.formula
FROM material_entry AS me
JOIN composition AS comp
  ON comp.entry_id = me.entry_id
JOIN element AS e
  ON e.symbol = comp.element
JOIN structure AS s
  ON s.entry_id = me.entry_id
WHERE e.symbol = 'Ti'
  AND s.strukturbericht IN ('L1_2', 'L1₂', 'L12')
ORDER BY me.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3224,13246,1,2561
