query_id,question,difficulty,hop_count,method,sql,syntax_valid,execution_valid,execution_accuracy,execution_precision,execution_recall,execution_f1,raw_execution_accuracy,raw_execution_precision,raw_execution_f1,hallucinated_table_rate,hallucinated_column_rate,hallucinated_join_rate,token_usage,latency_ms,repair_attempts,repair_tokens
q_easy_001,L1₂構造を持つ化合物を一覧にして。,easy,1,proposed,"SELECT DISTINCT m.entry_id, m.formula, s.prototype, s.strukturbericht
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.prototype = 'L12' OR s.strukturbericht = 'L12'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2144,3400,0,0
q_easy_002,Niを含むL1₂型金属間化合物を抽出して。,easy,2,proposed,"SELECT DISTINCT m.entry_id, m.formula, m.reduced_formula, s.prototype, s.strukturbericht, s.space_group_number
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
JOIN structure s ON s.entry_id = m.entry_id
WHERE c.element = 'Ni'
  AND (s.prototype = 'L12' OR s.strukturbericht = 'L12')
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2346,4932,0,0
q_easy_003,A₃B型組成を持つ化合物を表示して。,easy,1,proposed,"SELECT m.entry_id, m.formula, m.reduced_formula, m.chemical_system
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE m.number_of_elements = 2
GROUP BY m.entry_id, m.formula, m.reduced_formula, m.chemical_system
HAVING COUNT(DISTINCT c.element) = 2
   AND COUNT(*) FILTER (WHERE ABS(c.atomic_fraction - 0.75) < 1e-6) >= 1
   AND COUNT(*) FILTER (WHERE ABS(c.atomic_fraction - 0.25) < 1e-6) >= 1
LIMIT 10000;",True,True,1.0,0.9679012345679012,1.0,0.9836888331242158,0.0,0.0,0.0,0.0,1.0,0.0,2588,11768,0,0
q_easy_004,L12型化合物の格子定数を一覧にして。,easy,1,proposed,"SELECT DISTINCT
    m.entry_id,
    m.formula,
    s.prototype,
    s.strukturbericht,
    s.lattice_a,
    s.lattice_b,
    s.lattice_c
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE
    (s.prototype = 'L12' OR s.strukturbericht = 'L12')
    AND s.lattice_a IS NOT NULL
ORDER BY m.formula
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3205,3453,1,1126
q_easy_005,Coを含む化合物を表示して。,easy,1,proposed,"SELECT DISTINCT m.entry_id, m.formula, m.reduced_formula, m.chemical_system
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE c.element = 'Co'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2138,2425,0,0
q_easy_006,cubic構造の化合物を一覧にして。,easy,1,proposed,"SELECT DISTINCT
    m.entry_id,
    m.formula,
    s.crystal_system,
    s.space_group_number,
    s.prototype
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE LOWER(s.crystal_system) = 'cubic'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2077,3134,0,0
q_easy_007,L1₂型化合物のリストを出して。,easy,1,proposed,"SELECT DISTINCT
    m.entry_id,
    m.formula,
    m.reduced_formula,
    s.prototype,
    s.strukturbericht,
    s.lattice_a,
    s.lattice_b,
    s.lattice_c,
    s.space_group_number,
    s.crystal_system
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.prototype = 'L12'
   OR s.strukturbericht = 'L12'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2156,2693,0,0
q_easy_008,Alを含む化合物を抽出して。,easy,1,proposed,"SELECT DISTINCT m.entry_id, m.formula, m.reduced_formula, m.chemical_system
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
WHERE c.element = 'Al'
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2212,3838,0,0
q_easy_009,空間群番号221の化合物を表示して。,easy,1,proposed,"SELECT DISTINCT m.entry_id, m.formula, m.reduced_formula, s.space_group_number, s.space_group
FROM material_entry m
JOIN structure s ON s.entry_id = m.entry_id
WHERE s.space_group_number = 221
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2122,2445,0,0
q_easy_010,Tiを含むL1₂型化合物を一覧にして。,easy,2,proposed,"SELECT DISTINCT m.entry_id, m.formula, s.prototype, s.strukturbericht
FROM material_entry m
JOIN composition c ON c.entry_id = m.entry_id
JOIN structure s ON s.entry_id = m.entry_id
WHERE c.element = 'Ti'
  AND (s.prototype = 'L12' OR s.strukturbericht = 'L12')
LIMIT 10000;",True,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2177,3562,0,0
